[SETTINGS]
start	4
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
0	intro.txt
1	scene01.txt
2	scene02.txt
3	scene0005.txt
4	scene03.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png
20	textures\misc.png
30	textures\misc-2.png
40	textures\bg-1-1.png
50	textures\enemies-reversed.png
60	textures\enemies-3.png
70	textures\enemies-3-reversed.png
80	textures\enemies-2.png
90	textures\enemies-2-reversed.png
100	textures\enemies-2-upsidedown.png
