# id	left	top	right	bottom	texture_id
[SPRITES]

############### SINGLE CLOUD ###############
51001	354	243	369	258	20

############### CLOUD ###############
51000	390	117	405	132	20
52000	408	117	423	132	20
53000	426	117	441	132	20

############### GROUND ###############
54001	624	400	639	431	40
54002	635	400	660	431	40
54003	1072	400	1087	431	40

############### COLORBOX ###############

# pink top
55001	135	102	144	111	30
55002	145	102	154	111	30
55003	174	102	183	111	30
# pink middle
55004	135	112	144	121	30
55005	145	112	154	121	30
55006	174	112	183	121	30
# pink bottom
55007	135	141	144	150	30
55008	145	141	154	150	30
55009	174	141	183	150	30


# blue top
55011	161	262	170	271	30
55012	171	262	180	271	30
55013	216	262	225	271	30
# blue middle
55014	161	272	170	281	30
55015	171	272	180	281	30
55016	216	272	225	281	30
# blue bottom
55017	161	285	170	294	30
55018	171	285	180	294	30
55019	216	285	225	294	30


# green top
55021	73	200	82	209	30
55022	83	200	92	209	30
55023	128	200	137	209	30
# green middle
55024	73	210	82	219	30
55025	83	210	92	219	30
55026	128	210	137	219	30
# green bottom
55027	73	223	82	232	30
55028	83	223	92	232	30
55029	128	223	137	232	30

# white top
55031	346	38	355	47	30
55032	356	38	365	47	30
55033	401	38	410	47	30
# white middle
55034	346	48	355	57	30
55035	356	48	365	57	30
55036	401	48	410	57	30
# white bottom
55037	346	48	355	57	30
55038	356	48	365	57	30
55039	401	48	410	57	30

############### HILL ###############
56001	16	352	143	416	40

############### BUSH ###############
57000	160	400	176	415	40

############### CLOUD 2 ###############
57001	728	304	751	327	40
57002	752	304	775	327	40
57003	776	304	791	327	40

############### FIREBALL ###############
58001	35	36	42	43	80
58002	50	37	57	44	80
58003	35	50	42	57	80
58004	50	50	57	57	80

############### TITLE SCREEN ###############
59003	516	226	771	449	120

############### OVERWORLD MAP ###############
59001	4	40	237	201	110

############### BOTTOM BAR ###############
59002	7	7	236	32	110

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# hill
11234	56001	1000

# map
11235	59001	1000

# bottom BAR
11236	59002	1000

# title SCREEN
11237	59003	1000

# fireball
5100	58001	100	58002	100	58003	100	58004	100
